SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 4397000
std::sort Algorithm, Ascending Data, N = 1500, T[ns] = 137500
std::sort Algorithm, Descending Data, N = 1500, T[ns] = 118100
std::sort Algorithm, Constant Data, N = 1500, T[ns] = 275900
SelectionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 5876300
SelectionSort Algorithm, Ascending Data, N = 1500, T[ns] = 6025400
SelectionSort Algorithm, Descending Data, N = 1500, T[ns] = 5939300
SelectionSort Algorithm, Constant Data, N = 1500, T[ns] = 5952600
InsertionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 6529000
InsertionSort Algorithm, Ascending Data, N = 1500, T[ns] = 10300
InsertionSort Algorithm, Descending Data, N = 1500, T[ns] = 12905700
InsertionSort Algorithm, Constant Data, N = 1500, T[ns] = 10600
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1500, T[ns] = 1007200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1500, T[ns] = 19483400
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1500, T[ns] = 14790200
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1500, T[ns] = 19410700
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1500, T[ns] = 966100
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1500, T[ns] = 19214500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1500, T[ns] = 14865800
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1500, T[ns] = 19184700
std::sort Algorithm, Random Uniform Data, N = 1500, T[ns] = 245800
std::sort Algorithm, Ascending Data, N = 1500, T[ns] = 137800
std::sort Algorithm, Descending Data, N = 1500, T[ns] = 150800
std::sort Algorithm, Constant Data, N = 1500, T[ns] = 160000
SelectionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 5923700
SelectionSort Algorithm, Ascending Data, N = 1500, T[ns] = 6483100
SelectionSort Algorithm, Descending Data, N = 1500, T[ns] = 5923600
SelectionSort Algorithm, Constant Data, N = 1500, T[ns] = 5876500
InsertionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 6462600
InsertionSort Algorithm, Ascending Data, N = 1500, T[ns] = 17000
InsertionSort Algorithm, Descending Data, N = 1500, T[ns] = 13047800
InsertionSort Algorithm, Constant Data, N = 1500, T[ns] = 16500
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1500, T[ns] = 1369000
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1500, T[ns] = 19555600
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1500, T[ns] = 14632600
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1500, T[ns] = 19504800
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1500, T[ns] = 990000
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1500, T[ns] = 19094000
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1500, T[ns] = 14702600
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1500, T[ns] = 21120800
std::sort Algorithm, Random Uniform Data, N = 1500, T[ns] = 244700
std::sort Algorithm, Ascending Data, N = 1500, T[ns] = 204100
std::sort Algorithm, Descending Data, N = 1500, T[ns] = 181100
std::sort Algorithm, Constant Data, N = 1500, T[ns] = 220500
SelectionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 10501700
SelectionSort Algorithm, Ascending Data, N = 2000, T[ns] = 10327800
SelectionSort Algorithm, Descending Data, N = 2000, T[ns] = 10630400
SelectionSort Algorithm, Constant Data, N = 2000, T[ns] = 10442800
InsertionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 11976500
InsertionSort Algorithm, Ascending Data, N = 2000, T[ns] = 13800
InsertionSort Algorithm, Descending Data, N = 2000, T[ns] = 22940400
InsertionSort Algorithm, Constant Data, N = 2000, T[ns] = 20700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 2000, T[ns] = 1510500
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 35173400
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 2000, T[ns] = 29826300
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 2000, T[ns] = 35459000
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 2000, T[ns] = 1459800
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 2000, T[ns] = 35436500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 2000, T[ns] = 26457100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 2000, T[ns] = 34636100
std::sort Algorithm, Random Uniform Data, N = 2000, T[ns] = 398800
std::sort Algorithm, Ascending Data, N = 2000, T[ns] = 177900
std::sort Algorithm, Descending Data, N = 2000, T[ns] = 152700
std::sort Algorithm, Constant Data, N = 2000, T[ns] = 215900
SelectionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 10617400
SelectionSort Algorithm, Ascending Data, N = 2000, T[ns] = 10312900
SelectionSort Algorithm, Descending Data, N = 2000, T[ns] = 10591000
SelectionSort Algorithm, Constant Data, N = 2000, T[ns] = 10514400
InsertionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 11873400
InsertionSort Algorithm, Ascending Data, N = 2000, T[ns] = 13700
InsertionSort Algorithm, Descending Data, N = 2000, T[ns] = 23165500
InsertionSort Algorithm, Constant Data, N = 2000, T[ns] = 22200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 2000, T[ns] = 1445800
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 34273200
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 2000, T[ns] = 27361700
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 2000, T[ns] = 34537600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 2000, T[ns] = 1416800
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 2000, T[ns] = 34496600
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 2000, T[ns] = 26641500
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 2000, T[ns] = 34375300
std::sort Algorithm, Random Uniform Data, N = 2000, T[ns] = 343100
std::sort Algorithm, Ascending Data, N = 2000, T[ns] = 189000
std::sort Algorithm, Descending Data, N = 2000, T[ns] = 152700
std::sort Algorithm, Constant Data, N = 2000, T[ns] = 302500
SelectionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 11380000
SelectionSort Algorithm, Ascending Data, N = 2000, T[ns] = 10321100
SelectionSort Algorithm, Descending Data, N = 2000, T[ns] = 10540800
SelectionSort Algorithm, Constant Data, N = 2000, T[ns] = 10331900
InsertionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 11620000
InsertionSort Algorithm, Ascending Data, N = 2000, T[ns] = 13300
InsertionSort Algorithm, Descending Data, N = 2000, T[ns] = 22919600
InsertionSort Algorithm, Constant Data, N = 2000, T[ns] = 13700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 2000, T[ns] = 1459600
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 34443400
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 2000, T[ns] = 26985100
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 2000, T[ns] = 34504000
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 2000, T[ns] = 1411400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 2000, T[ns] = 34473100
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 2000, T[ns] = 26686400
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 2000, T[ns] = 34326700
std::sort Algorithm, Random Uniform Data, N = 2000, T[ns] = 333600
std::sort Algorithm, Ascending Data, N = 2000, T[ns] = 252900
std::sort Algorithm, Descending Data, N = 2000, T[ns] = 152600
std::sort Algorithm, Constant Data, N = 2000, T[ns] = 267200
SelectionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 10557700
SelectionSort Algorithm, Ascending Data, N = 2000, T[ns] = 10300700
SelectionSort Algorithm, Descending Data, N = 2000, T[ns] = 10545400
SelectionSort Algorithm, Constant Data, N = 2000, T[ns] = 10295500
InsertionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 11545600
InsertionSort Algorithm, Ascending Data, N = 2000, T[ns] = 13400
InsertionSort Algorithm, Descending Data, N = 2000, T[ns] = 22882400
InsertionSort Algorithm, Constant Data, N = 2000, T[ns] = 13400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 2000, T[ns] = 1542500
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 34384200
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 2000, T[ns] = 27301500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 2000, T[ns] = 35369100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 2000, T[ns] = 1721000
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 2000, T[ns] = 34161900
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 2000, T[ns] = 26413800
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 2000, T[ns] = 34394700
std::sort Algorithm, Random Uniform Data, N = 2000, T[ns] = 334900
std::sort Algorithm, Ascending Data, N = 2000, T[ns] = 186900
std::sort Algorithm, Descending Data, N = 2000, T[ns] = 183600
std::sort Algorithm, Constant Data, N = 2000, T[ns] = 210800
SelectionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 10532900
SelectionSort Algorithm, Ascending Data, N = 2000, T[ns] = 23368700
SelectionSort Algorithm, Descending Data, N = 2000, T[ns] = 14421400
SelectionSort Algorithm, Constant Data, N = 2000, T[ns] = 10296200
InsertionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 11645000
InsertionSort Algorithm, Ascending Data, N = 2000, T[ns] = 13400
InsertionSort Algorithm, Descending Data, N = 2000, T[ns] = 23071700
InsertionSort Algorithm, Constant Data, N = 2000, T[ns] = 13700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 2000, T[ns] = 1400200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 35119500
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 2000, T[ns] = 27860400
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 2000, T[ns] = 34477300
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 2000, T[ns] = 1615400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 2000, T[ns] = 34766100
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 2000, T[ns] = 26909700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 2000, T[ns] = 35432100
std::sort Algorithm, Random Uniform Data, N = 2000, T[ns] = 333100
std::sort Algorithm, Ascending Data, N = 2000, T[ns] = 178300
std::sort Algorithm, Descending Data, N = 2000, T[ns] = 159200
std::sort Algorithm, Constant Data, N = 2000, T[ns] = 235200
SelectionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 10683100
SelectionSort Algorithm, Ascending Data, N = 2000, T[ns] = 10536500
SelectionSort Algorithm, Descending Data, N = 2000, T[ns] = 10483300
SelectionSort Algorithm, Constant Data, N = 2000, T[ns] = 10826400
InsertionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 11469400
InsertionSort Algorithm, Ascending Data, N = 2000, T[ns] = 13500
InsertionSort Algorithm, Descending Data, N = 2000, T[ns] = 23119700
InsertionSort Algorithm, Constant Data, N = 2000, T[ns] = 20800
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 2000, T[ns] = 1412800
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 34731200
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 2000, T[ns] = 26562300
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 2000, T[ns] = 34639400
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 2000, T[ns] = 1438600
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 2000, T[ns] = 34647500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 2000, T[ns] = 27629600
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 2000, T[ns] = 34567000
std::sort Algorithm, Random Uniform Data, N = 2000, T[ns] = 394100
std::sort Algorithm, Ascending Data, N = 2000, T[ns] = 186700
std::sort Algorithm, Descending Data, N = 2000, T[ns] = 152700
std::sort Algorithm, Constant Data, N = 2000, T[ns] = 211700
SelectionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 10979300
SelectionSort Algorithm, Ascending Data, N = 2000, T[ns] = 10771700
SelectionSort Algorithm, Descending Data, N = 2000, T[ns] = 10600700
SelectionSort Algorithm, Constant Data, N = 2000, T[ns] = 10634800
InsertionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 11532500
InsertionSort Algorithm, Ascending Data, N = 2000, T[ns] = 20600
InsertionSort Algorithm, Descending Data, N = 2000, T[ns] = 23023800
InsertionSort Algorithm, Constant Data, N = 2000, T[ns] = 13300
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 2000, T[ns] = 1441900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 34901400
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 2000, T[ns] = 26686000
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 2000, T[ns] = 34266900
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 2000, T[ns] = 1432200
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 2000, T[ns] = 35415800
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 2000, T[ns] = 28034200
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 2000, T[ns] = 35284900
std::sort Algorithm, Random Uniform Data, N = 2000, T[ns] = 336300
std::sort Algorithm, Ascending Data, N = 2000, T[ns] = 188400
std::sort Algorithm, Descending Data, N = 2000, T[ns] = 185800
std::sort Algorithm, Constant Data, N = 2000, T[ns] = 210000
SelectionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 10678300
SelectionSort Algorithm, Ascending Data, N = 2000, T[ns] = 10397400
SelectionSort Algorithm, Descending Data, N = 2000, T[ns] = 10553600
SelectionSort Algorithm, Constant Data, N = 2000, T[ns] = 10337500
InsertionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 11691500
InsertionSort Algorithm, Ascending Data, N = 2000, T[ns] = 13300
InsertionSort Algorithm, Descending Data, N = 2000, T[ns] = 23062600
InsertionSort Algorithm, Constant Data, N = 2000, T[ns] = 13300
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 2000, T[ns] = 1443200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 34422300
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 2000, T[ns] = 26403900
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 2000, T[ns] = 34693700
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 2000, T[ns] = 1442400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 2000, T[ns] = 35201400
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 2000, T[ns] = 27562500
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 2000, T[ns] = 34387000
std::sort Algorithm, Random Uniform Data, N = 2000, T[ns] = 341000
std::sort Algorithm, Ascending Data, N = 2000, T[ns] = 186600
std::sort Algorithm, Descending Data, N = 2000, T[ns] = 163700
std::sort Algorithm, Constant Data, N = 2000, T[ns] = 211000
SelectionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 10846200
SelectionSort Algorithm, Ascending Data, N = 2000, T[ns] = 10383100
SelectionSort Algorithm, Descending Data, N = 2000, T[ns] = 10514700
SelectionSort Algorithm, Constant Data, N = 2000, T[ns] = 10593000
InsertionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 11931000
InsertionSort Algorithm, Ascending Data, N = 2000, T[ns] = 13400
InsertionSort Algorithm, Descending Data, N = 2000, T[ns] = 23040900
InsertionSort Algorithm, Constant Data, N = 2000, T[ns] = 13400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 2000, T[ns] = 1439200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 34212700
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 2000, T[ns] = 26764500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 2000, T[ns] = 34422400
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 2000, T[ns] = 1436100
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 2000, T[ns] = 34756500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 2000, T[ns] = 31009700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 2000, T[ns] = 37096000
std::sort Algorithm, Random Uniform Data, N = 2000, T[ns] = 362300
std::sort Algorithm, Ascending Data, N = 2000, T[ns] = 182600
std::sort Algorithm, Descending Data, N = 2000, T[ns] = 166600
std::sort Algorithm, Constant Data, N = 2000, T[ns] = 225200
SelectionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 10625300
SelectionSort Algorithm, Ascending Data, N = 2000, T[ns] = 10422700
SelectionSort Algorithm, Descending Data, N = 2000, T[ns] = 11076600
SelectionSort Algorithm, Constant Data, N = 2000, T[ns] = 10543700
InsertionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 11788100
InsertionSort Algorithm, Ascending Data, N = 2000, T[ns] = 24400
InsertionSort Algorithm, Descending Data, N = 2000, T[ns] = 23009300
InsertionSort Algorithm, Constant Data, N = 2000, T[ns] = 13400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 2000, T[ns] = 1402200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 35088200
